loanid,property,occupancy,purpose,documentation,ratetype,isnegam,lienposition,originalappraisalamount,ltv,jrltv,combinedltv,originalamount,srbalance,originalterm,amorterm,fico,rate,originationdate,state,asofdate,loanage,reportedloanstatus,currentamount,modified,priorchargeoff,liquidationdate,defdate,lgd,yrm,origym,region_code,updatedcltv,updatedcltv_missing,fico_missing,singlehome,occupied,timetoliquidation,predlgd
"140289","S","S","P","C1","F","False",1,27870,100,0,100,27870,0,361,361,0,7.5,199404,"PR",201401,237,3,21084.859,"False",0,201409,201310,0,2014m9,1994m4,"PR",49.65823,0,1,1,0,11,14.29697
"140461","S","S","P","C1","F","False",1,44500,87.19101,0,87.19101,38800,0,361,361,635,9,199405,"PR",201509,256,3,25270.199,"False",0,201703,201310,0,2017m3,1994m5,"PR",37.79247,0,0,1,0,41,19.98906
"140377","S","P","P","C1","F","False",1,47000,96.80851,0,96.80851,45500,0,361,361,715,9,199405,"PR",201707,278,3,26865.949,"False",0,201805,201502,0,2018m5,1994m5,"PR",38.5888,0,0,1,1,39,15.68278
"452530","S","P","P","C1","F","False",1,110000,85.657272,0,85.657272,94223,0,361,361,560,7.5,199704,"PR",201408,208,3,81577.5,"False",0,201506,201310,0,2015m6,1997m4,"PR",52.31694,0,0,1,1,20,14.09675
"142080","S","S","C","C1","F","False",1,550000,81.818184,0,81.818184,450000,0,367,367,688,5.5,199712,"PR",201703,231,3,322382.25,"False",0,201708,201311,45.716537,2017m8,1997m12,"PR",46.05633,0,0,1,0,45,23.94747
"Modified_142088","F","S","C","C1","F","False",1,76000,85,0,85,64600,0,364,363,560,8,199712,"PR",201508,212,3,50290.461,"True",0,201810,201310,40.345623,2018m10,1997m12,"PR",51.68899,0,0,0,0,60,34.14573
"452301","S","P","R","C1","F","False",1,105000,80,0,80,84000,0,361,361,536,8,199803,"PR",201802,239,3,58102.891,"False",0,201910,201602,22.551184,2019m10,1998m3,"PR",42.6863,0,0,1,1,44,18.60558
"452304","S","P","R","C1","F","False",1,51200,58.59375,0,58.59375,30000,0,361,361,585,7.625,199805,"PR",201508,207,3,22865.17,"False",0,201604,201310,0,2016m4,1998m5,"PR",35.31878,0,0,1,1,30,11.75581
"Modified_142540","S","P","C","C1","F","False",1,160000,106.435,0,106.435,170296,0,523,360,583,5.5,199807,"PR",201712,233,3,157464.3,"True",-32072.289,201906,201609,36.493534,2019m6,1998m7,"PR",73.55171,0,0,1,1,33,25.13443
"142622","S","P","C","C1","F","False",1,255000,101.96078,0,101.96078,260000,0,403,403,0,7.5,199808,"PR",201402,186,3,253480.66,"False",0,201508,201310,17.153183,2015m8,1998m8,"PR",76.82901,0,1,1,1,22,22.6985
"452447","S","P","C","C1","F","False",1,65000,80,0,80,52000,0,361,361,0,7.25,199812,"PR",201404,184,3,51002.352,"False",0,201604,201310,41.178493,2016m4,1998m12,"PR",66.01369,0,1,1,1,30,21.73015
"Modified_452363","S","P","R","C1","F","False",1,95694.445,63.75,0,63.75,61005.211,0,377,240,0,9.875,199904,"PR",201607,207,3,61005.211,"True",0,201802,201310,0,2018m2,1999m4,"PR",53.6623,0,1,1,1,52,24.71834
"Modified_452568","S","P","R","C1","F","False",1,106945.28,75,0,75,80208.961,0,522,360,0,7,199905,"PR",201601,200,3,80208.961,"True",0,201911,201310,103.57365,2019m11,1999m5,"PR",67.27113,0,1,1,1,73,35.82407
"452342","S","P","P","C1","F","False",1,98000,121.42857,0,121.42857,119000,0,431,431,578,7.5,199905,"PR",201603,202,3,106903.32,"False",0,201905,201310,53.228767,2019m5,1999m5,"PR",89.3177,0,0,1,1,67,41.07854
"Modified_452571","S","P","R","C1","F","False",1,103487.84,70,0,70,72441.492,0,600,480,610,12,199906,"PR",201504,190,3,72441.492,"True",0,201609,201310,3.3696158,2016m9,1999m6,"PR",59.80207,0,0,1,1,35,21.303
